Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,DC2-SPINE1,Ethernet1,l3leaf,DC2-LEAF1A,Ethernet1
spine,DC2-SPINE1,Ethernet2,l3leaf,DC2-LEAF1B,Ethernet1
spine,DC2-SPINE1,Ethernet3,l3leaf,DC2-BL1A,Ethernet1
spine,DC2-SPINE1,Ethernet4,l3leaf,DC2-BL1B,Ethernet1
spine,DC2-SPINE2,Ethernet1,l3leaf,DC2-LEAF1A,Ethernet2
spine,DC2-SPINE2,Ethernet2,l3leaf,DC2-LEAF1B,Ethernet2
spine,DC2-SPINE2,Ethernet3,l3leaf,DC2-BL1A,Ethernet2
spine,DC2-SPINE2,Ethernet4,l3leaf,DC2-BL1B,Ethernet2
l3leaf,DC2-BL1A,Ethernet1,spine,DC2-SPINE1,Ethernet3
l3leaf,DC2-BL1A,Ethernet2,spine,DC2-SPINE2,Ethernet3
l3leaf,DC2-BL1A,Ethernet4,mlag_peer,DC2-BL1B,Ethernet4
l3leaf,DC2-BL1A,Ethernet5,mlag_peer,DC2-BL1B,Ethernet5
l3leaf,DC2-BL1B,Ethernet1,spine,DC2-SPINE1,Ethernet4
l3leaf,DC2-BL1B,Ethernet2,spine,DC2-SPINE2,Ethernet4
l3leaf,DC2-BL1B,Ethernet4,mlag_peer,DC2-BL1A,Ethernet4
l3leaf,DC2-BL1B,Ethernet5,mlag_peer,DC2-BL1A,Ethernet5
l3leaf,DC2-LEAF1A,Ethernet1,spine,DC2-SPINE1,Ethernet1
l3leaf,DC2-LEAF1A,Ethernet2,spine,DC2-SPINE2,Ethernet1
l3leaf,DC2-LEAF1A,Ethernet3,l2leaf,DC2-L2LEAF1A,Ethernet1
l3leaf,DC2-LEAF1A,Ethernet13,mlag_peer,DC2-LEAF1B,Ethernet13
l3leaf,DC2-LEAF1A,Ethernet14,mlag_peer,DC2-LEAF1B,Ethernet14
l3leaf,DC2-LEAF1B,Ethernet1,spine,DC2-SPINE1,Ethernet2
l3leaf,DC2-LEAF1B,Ethernet2,spine,DC2-SPINE2,Ethernet2
l3leaf,DC2-LEAF1B,Ethernet3,l2leaf,DC2-L2LEAF1A,Ethernet2
l3leaf,DC2-LEAF1B,Ethernet13,mlag_peer,DC2-LEAF1A,Ethernet13
l3leaf,DC2-LEAF1B,Ethernet14,mlag_peer,DC2-LEAF1A,Ethernet14
l2leaf,DC2-L2LEAF1A,Ethernet1,l3leaf,DC2-LEAF1A,Ethernet3
l2leaf,DC2-L2LEAF1A,Ethernet2,l3leaf,DC2-LEAF1B,Ethernet3
