type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,DC1-LEAF1A,Ethernet1,172.31.251.1/31,N/A,DC1-SPINE1,Ethernet1,172.31.251.0/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet2,172.31.251.3/31,N/A,DC1-SPINE2,Ethernet1,172.31.251.2/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet3,172.31.251.5/31,N/A,DC1-SPINE3,Ethernet1,172.31.251.4/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet4,172.31.251.7/31,N/A,DC1-SPINE4,Ethernet1,172.31.251.6/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet1,172.31.251.9/31,N/A,DC1-SPINE1,Ethernet2,172.31.251.8/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet2,172.31.251.11/31,N/A,DC1-SPINE2,Ethernet2,172.31.251.10/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet3,172.31.251.13/31,N/A,DC1-SPINE3,Ethernet2,172.31.251.12/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet4,172.31.251.15/31,N/A,DC1-SPINE4,Ethernet2,172.31.251.14/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet1,172.31.251.17/31,N/A,DC1-SPINE1,Ethernet3,172.31.251.16/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet2,172.31.251.19/31,N/A,DC1-SPINE2,Ethernet3,172.31.251.18/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet3,172.31.251.21/31,N/A,DC1-SPINE3,Ethernet3,172.31.251.20/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet4,172.31.251.23/31,N/A,DC1-SPINE4,Ethernet3,172.31.251.22/31,N/A
L3 Leaf,DC1-SVC3A,Ethernet1,172.31.251.25/31,N/A,DC1-SPINE1,Ethernet4,172.31.251.24/31,N/A
L3 Leaf,DC1-SVC3A,Ethernet2,172.31.251.27/31,N/A,DC1-SPINE2,Ethernet4,172.31.251.26/31,N/A
L3 Leaf,DC1-SVC3A,Ethernet3,172.31.251.29/31,N/A,DC1-SPINE3,Ethernet4,172.31.251.28/31,N/A
L3 Leaf,DC1-SVC3A,Ethernet4,172.31.251.31/31,N/A,DC1-SPINE4,Ethernet4,172.31.251.30/31,N/A
L3 Leaf,DC1-SVC3B,Ethernet1,172.31.251.33/31,N/A,DC1-SPINE1,Ethernet5,172.31.251.32/31,N/A
L3 Leaf,DC1-SVC3B,Ethernet2,172.31.251.35/31,N/A,DC1-SPINE2,Ethernet5,172.31.251.34/31,N/A
L3 Leaf,DC1-SVC3B,Ethernet3,172.31.251.37/31,N/A,DC1-SPINE3,Ethernet5,172.31.251.36/31,N/A
L3 Leaf,DC1-SVC3B,Ethernet4,172.31.251.39/31,N/A,DC1-SPINE4,Ethernet5,172.31.251.38/31,N/A
L2 Leaf,DC1-L2LEAF1A,Ethernet1,N/A,Po1,DC1-LEAF2A,Ethernet7,N/A,Po7
L2 Leaf,DC1-L2LEAF1A,Ethernet2,N/A,Po1,DC1-LEAF2B,Ethernet7,N/A,Po7
L2 Leaf,DC1-L2LEAF2A,Ethernet1,N/A,Po1,DC1-SVC3A,Ethernet7,N/A,Po7
L2 Leaf,DC1-L2LEAF2A,Ethernet2,N/A,Po1,DC1-SVC3B,Ethernet7,N/A,Po7
L2 Leaf,DC1-L2LEAF2B,Ethernet1,N/A,Po1,DC1-SVC3A,Ethernet8,N/A,Po8
L2 Leaf,DC1-L2LEAF2B,Ethernet2,N/A,Po1,DC1-SVC3B,Ethernet8,N/A,Po8
